aluguel,condominio,iptu,descricao,endereco,area,qtd_quartos,qtd_vagas,qtd_banheiros
R$ 750,R$ 370,,"Apartamento no bairro Tauape, localizado na rua Evaristo Reis, a poucos metros da Av. Governador Raul Barbosa, próximo à Igreja da Sagrada Família Pio XII. Imóvel com 60m², 2 quart..."," Tauape, Fortaleza
", 60 ,2,,1.0
R$ 1.600,R$ 610,,"Apartamentos com 2 quartos sendo 1 suíte com armários projetados, banheiro social, cozinha + área de serviço, sala 2 ambientes, varanda e 2 vagas na garagem. Rua Ana Bilhar, 491,..."," Rua Ana Bilhar, Meireles
", 60 ,2,2.0,2.0
R$ 800,R$ 255,R$ 1,"Uma ótima opção para quem procura conforto e comodidade! Localizado no bairro Planalto Ayrton Senna, o Residencial Moratta Clube dispõe de vários fatores que farão com que sua mora..."," Rua Artur de Sousa, Planalto Ayrton Senna
", 50 ,2,1.0,1.0
R$ 2.600,R$ 570,,"Este apartamento à venda no Condomínio Eridan Mendonça é uma excelente opção para quem busca uma moradia moderna e funcional. Construído em uma região alta da cidade, apartamento v..."," Rua Doutor José Lourenço, Joaquim Tavora
", 60 ,2,2.0,2.0
R$ 1.090,,,"O apartamento no bairro Amador tem 55 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros Possui espaço jardinado, área de brinquedo para as crianças.Encontra-se na privaci..."," Amador, Eusébio
", 55 ,2,1.0,2.0
R$ 2.700,R$ 264,R$ 91,"Qualidade de vida faz toda a diferença na hora de procurar um cantinho para acomodar bem a sua família. Por isso, apresentamos um apartamento no bairro Edson Queiroz, local de cons..."," Rua Hil de Moraes, Guararapes
", 55 ,2,2.0,2.0
R$ 1.500,R$ 300,,ALUGA APARTAMENTO Uma grande oportunidade Condomínio Jardins de Itália está localizado em um dos bairros que mais cresce em Fortaleza. Próximo a escolas; Posto de saúde; Delegac...," Rua Coronel de Queiroz, Planalto Ayrton Senna
", 52 ,2,2.0,1.0
R$ 800,R$ 70,,O apartamento está localizado no bairro São José possui 68 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros. Ótima localização," Rua Moacir Gondin Locio, São José
", 68 ,2,1.0,2.0
R$ 900,R$ 350,,"Ed. Gran Village Eusébio 2! Primeira locação, apartamento com 2 quartos sendo 1 suíte, wc social, sala, varanda, cozinha, área de serviço, 1 vaga, área privativa 49m². Condomínio d..."," Avenida Brasília, Centro
", 49 ,2,1.0,2.0
R$ 1.500,R$ 386,,"Apartamento dispõe de 48m² com sala dois ambientes, varanda, cozinha, 2 quartos, banheiro social com box, área de serviço e 1 vaga de garagem. Localizado a 4 quadras da Av. Le..."," Jacarecanga, Fortaleza
", 48 ,2,1.0,1.0
R$ 1.200,R$ 320,,"Apartamento para Locação, Reserva dos Ipês no bairro Passaré, localizado na cidade de Fortaleza / CE. Com 2 dormitórios, sendo 2 suítes, 1 vaga de garagem, localizado em condom..."," Avenida da Saudade, Passaré
", 48 ,2,1.0,2.0
R$ 2.500,R$ 480,R$ 98,"O apartamento está localizado no bairro Papicu com 70 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros Possui área de fitness, espaço jardinado, área de recreação infant..."," Rua Pereira de Miranda, Papicu
", 70 ,3,1.0,3.0
R$ 2.350,R$ 700,R$ 120,Que tal morar em um local seguro e bem perto de tudo que você precisa para viver bem? Então conheça esse condomínio no bairro Luciano Cavalcante! Apartamento com área em torno de...," Rua Caio Cid, Engenheiro Luciano Cavalcante
", 73 ,3,2.0,2.0
R$ 1.000,R$ 220,,"Apartamento com 2 dormitórios para alugar, 49 m² por R$ 1000/mês - Maraponga - Fortaleza/CE"," Rua Júlio Alcides, Maraponga
", 49 ,2,1.0,2.0
R$ 1.000,R$ 320,R$ 342,"Excelente apartamento dispondo de 48m², sala, cozinha, área de serviço, 3 quartos sendo 1 suítes, 1 banheiro social e 1 vaga de garagem. Localizado próximo a Av. Frei Cirilo, Ataca..."," Avenida Ministro José Américo, Parque Iracema
", 48 ,3,1.0,2.0
R$ 950,R$ 280,,"Apartamento revestido com porcelanato,com instalação para máquina de lavar, interfone e medidor de água individualizados, sala ampla como varanda, 01 vaga de garagem, cerca elétric..."," Rua Pereira Valente, Padre Romualdo
", 56 ,2,5.0,2.0
R$ 2.800,,R$ 400,"O apartamento no bairro Cumbuco possui 75 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área verde de jardim, varanda. Vai lhe possibilitar curtir os dias mais..."," Rua F, Centro
", 75 ,2,1.0,2.0
R$ 2.100,R$ 732,,"Excelente opção de apartamento em condomínio com área de lazer completa no bairro Varjota, localizado na rua Dr. José Frota, a poucos passos da Av. Almirante Henrique Sabóia. Imóve..."," Varjota, Fortaleza
", 78 ,2,2.0,3.0
R$ 1.000,R$ 784,,"Ed. Residencial Henrique I! Não perca essa oportunidade e venha morar no Bairro de Fátima, neste excelente apartamento com 3 quartos sendo 1 suíte, wc social, dependência completa,..."," Rua Coronel João Carneiro, Fátima
", 129 ,3,1.0,3.0
R$ 660,R$ 256,,"Gois imobiliária aluga: apartamento no bairro jangurussu/ messejana, condomínio fechado, portão automático, bem localizado, 100mtr da avenida perimetral, arejado e primeiro andar...."," Rua Paulina de Arruda, Jangurussu
", 48 ,2,1.0,1.0
R$ 4.000,R$ 745,R$ 135,"Moma Condominium Endereço: Rua Vilebaldo Aguiar, 2315 Cocó AP 14° ANDAR Torre 03 - Fortaleza - CE Aluguel: R$ 4.000,00 Condomínio: R$ 744,81 + água e esgoto conforme consumo + gás..."," Rua Vilebaldo Aguiar, Cocó
", 83 ,3,2.0,3.0
R$ 700,R$ 350,,"Ed. Estela Mares ! Apartamento com 3 quartos sendo 2 suíte, wc social, varanda, 2 vagas, armários, área privativa 110m². Condomínio dispõe de piscina, deck com churrasqueira."," Avenida Otaviano Costa, Icarai
", 110 ,3,2.0,3.0
R$ 850,R$ 1,R$ 32,"Imóvel 40m², com 02 quartos, sala ampla, cozinha americana, banheiro reversível, área de serviço. Localizado a 100m da Av.13 de Maio, próximo ao Shopping Benfica, faculdade, super..."," Benfica, Fortaleza
", 40 ,2,1.0,1.0
R$ 2.000,R$ 750,,"ALUGO: Área: 94,54 m2 3 quartos, sendo 1 suite 01 Banheiro social DCE 02 vagas cobertas Bairro: Joaquim Távora (ótima localização. Em frente ao Paulo Sarasate) Valor do ALUGUEL: R..."," Rua Ildefonso Albano, Joaquim Tavora
", 94 ,3,2.0,2.0
R$ 1.300,R$ 450,R$ 295,"Apartamento dispõe de 92m², sala em 2 ambientes, varanda, cozinha revestida, 3 quartos sendo 1 suíte, banheiro social, dependência completa, área de serviço e 1 vaga de garagem. Lo..."," Rua Marechal Deodoro, Benfica
", 92 ,3,1.0,2.0
R$ 850,,,"Excelente apartamento para 1ª locação na Pajuçara, próximo ao Atacadão, Assaí Atacadista e a outras opções de comércio e serviço, a poucos minutos da Rotatória da Ceasa. O imóvel p..."," Pajuçara, Maracanaú
", 48 ,2,,1.0
R$ 700,R$ 430,R$ 72,"Pensando no conforto e bem-estar da sua família, a 7Cantos apresenta um apartamento ideal para você. O imóvel conta com uma ótima localização para facilitar seu dia a dia; encontra..."," Rua Casimiro de Abreu, Parangaba
", 76 ,3,1.0,2.0
R$ 1.800,R$ 817,R$ 192,O apartamento no bairro Meireles tem 120 metros quadrados com 3 quartos sendo 1 suite e 3 banheirosElevador que garante o transporte das suas malas e compras. Encontra-se em um con...," Avenida Barão de Studart, Meireles
", 120 ,3,1.0,3.0
R$ 2.300,R$ 750,,"Excelente apartamento para locação no bairro Dionísio Torres! Condomínio Century! - 70m² - sala - varanda - 3 quartos, sendo 1 suíte e 1 suíte reversível - 1 banheiro reversível -..."," Rua Coronel Linhares, Dionísio Torres
", 65 ,3,2.0,1.0
R$ 950,R$ 651,,"Residencial Reserva Natura! Primeira locação, apartamento com 2 quartos sendo 1 suíte, wc social, varanda, 1 vaga, área privativa 53m². Condomínio dispõe de piscina, deck com churr..."," Rua Lourdes Vidal Alves, Lagoa Redonda
", 53 ,2,1.0,3.0
R$ 1.300,R$ 820,R$ 1.195,AP1628 - Imobiliária Luiz Rêgo aluga apartamento o Benfica próximo a Faculdade de direito da UFC. Varanda / sala dois ambientes / 2 quartos / 1 suíte / 1 banheiro social / cozinha...," Avenida da Universidade, Benfica
", 101 ,3,1.0,2.0
R$ 1.705,R$ 473,R$ 81,"Com ótima localização no bairro Jacarecanga a poucos metros do Centro Fashion. O imóvel possui 54m² com 2 quartos sendo 1 suíte, sala, varanda, cozinha, área de serviço, 2 banheiro..."," Rua Monsenhor Dantas, Jacarecanga
", 55 ,2,2.0,2.0
R$ 700,R$ 250,R$ 26,"Condições da Locação: - ALUGUEL: R$ 700,00 - CONDOMÍNIO: R$ 250,00 - IPTU MENSAL: R$ 26,25 ÁREA PRIVATIVA - 48m², 2 QUARTOS SENDO 1 SUÍTE, SALA DE ESTAR E JANTAR, COZINHA AMERIC..."," Alameda Verde, Coacu
", 48 ,2,1.0,1.0
R$ 750,,,"Aluguel rápido e fácil! Com a Mell.ro você aluga um imóvel com a rapidez que precisa. Você vai passar por uma análise de crédito e se aprovado, basta pagar o 1º aluguel. Nada de fi..."," Rua Padre Pedro de Alencar, Messejana
", 80 ,3,1.0,2.0
R$ 3.200,,,"O apartamento está localizado no bairro Praia de Iracema possui 55 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros Possui área de fitness, salão de festas, jardim, espa..."," Rua Dragão do Mar, Praia de Iracema
", 55 ,2,1.0,2.0
R$ 3.000,R$ 564,R$ 96,"ALUGO APTO. NOVO – J SMART JOSÉ VILAR NO MELHOR DA ALDEOTA Apartamento novo, andar alto (12º andar), com área útil de 52 m², duas suítes sendo uma com banheiro reversível, Sala de..."," Rua José Vilar, Aldeota
", 52 ,2,1.0,2.0
R$ 900,R$ 50,R$ 25,"Uma ótima opção para quem procura um imóvel espaçoso e prático. Localizado no bairro Vila Velha, esse imóvel dispõe de diversos fatores que vão fazer sua moradia ser mais aconchega..."," Rua Reriutaba, Vila Velha
", 65 ,3,1.0,1.0
R$ 1.350,R$ 250,R$ 1,"O bairro Joaquim Távora se caracteriza por ser majoritariamente residencial e ser um bairro autossuficiente, onde você encontra tudo nas grandes avenidas que ficam bem próximo ao s..."," Avenida Visconde do Rio Branco, Joaquim Tavora
", 50 ,2,1.0,1.0
R$ 890,,R$ 88,Agora você pode morar neste belo apartamento com 02 quartos sendo 01 suíte. - sala - banheiro - áreas de serviço - 01 suíte - cozinha - 02 varandas - 01 vaga de garagem - cozi...," Vila Nazira, Parque Potira Jurema
", 57 ,2,1.0,2.0
R$ 2.000,,,"Excelente apartamento com 107m², 02 suítes, closet, lavabo, cozinha, armários, área de serviço, DCE, 2 vagas, salão de festas, deck/ churrasqueira. Localização privilegiada, próxim..."," Rua Júlio Siqueira, Dionísio Torres
", 108 ,2,2.0,6.0
R$ 1.000,R$ 290,,>>> CONDOMÍNIO VILLAGE PABLO PICASSO," Rua 08H, Passaré
", 43 ,2,2.0,2.0
R$ 1.800,R$ 280,,"O apartamento está localizado no bairro Centro com 55 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui academia, espaço para festas. Vai lhe possibilitar curtir os..."," Rua Guilherme Rocha, Centro
", 55 ,2,1.0,2.0
R$ 900,R$ 1,R$ 32,"Imóvel 40m², com 02 quartos, sala ampla, cozinha americana, banheiro reversível, área de serviço. Localizado a 100m da Av.13 de Maio, próximo ao Shopping Benfica, faculdade, super..."," Benfica, Fortaleza
", 40 ,2,1.0,1.0
R$ 700,R$ 200,,"Excelente oportunidade de locação no Edifício Monte Carmelo! Este maravilhoso apartamento de 2 quartos, sendo 1 suíte reversível, uma sala em L, cozinha, área de serviço e 2 vagas..."," Rua João de Castro,
", 55 ,2,2.0,2.0
R$ 1.600,R$ 655,,"*Locação para residência fixa Apartamento de 03 suítes, sendo 01 reversível, sala ampla projetada, varanda, cozinha americana projetada com área de serviço. 02 vagas de garagem. O..."," Rua Zuca Accioly, Manoel Dias Branco
", 78 ,3,2.0,3.0
R$ 850,R$ 190,,"Apartamento no bairro Modubim localizado na Av. Bernardo Manuel, próximo ao Super do Povo, ao Cometa Supermercados, à farmácias e instituições de ensino. O imóvel possui 2 quartos,..."," Mondubim, Fortaleza
", 58 ,2,1.0,2.0
R$ 2.500,R$ 600,R$ 100,"O apartamento está localizado no bairro Parquelândia possui 84 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros Possui área de fitness, espaço gourmet, jardim, playground..."," Rua Padre Guerra, Parquelândia
", 84 ,3,2.0,3.0
R$ 1.300,R$ 407,,"PASSARÉ - APARTAMENTO - RUA AMANCIO PEREIRA 55 APTO 902 BL 2 ARENA CONDOMÍNIO CLUBE, Aproximadamente 58m², Varanda, Sala, 2 Dormitórios Sendo 1 Suíte, W.C Social, Cozinha, Área De..."," Rua Amâncio Pereira, Passaré
", 58 ,2,1.0,2.0
R$ 2.300,R$ 400,,"Sala de estar/jantar, 3 Suites sendo uma reversível e outra com closet, varanda, cozinha e área de serviço armarios na cozinha Observação: 130 unidades, , 5 apartamentos por..."," Avenida Eduardo Mclain, Triângulo
", 90 ,3,2.0,3.0
R$ 2.900,R$ 499,R$ 2.280,"O apartamento fica localizado no bairro Luciano Cavalcante, próximo à Unifor. Possui 70 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros. Para aluguel, possui móveis proj..."," Rua Luiza Miranda Coelho, Engenheiro Luciano Cavalcante
", 70 ,3,2.0,2.0
R$ 2.500,R$ 602,,"Apartamento novo com 59m2, 2 quartos (1 suíte), sala, varanda na sala e em 01 suíte, banheiro social, cozinha e área de serviço. PISO em cerâmica. GUARDA ROUPA nos quartos; ARMÁR..."," Rua Doutor José Lourenço, Dionísio Torres
", 59 ,2,2.0,2.0
R$ 1.500,,,"Excelente apartamento no Residencial Ilha de Vera Cruz, situado à Av. Osorio de Paiva, N° 857, BL A, Apto. 107, Parangaba, Fortaleza-CE. Imóvel situado no 1°andar, com ótima venti..."," Avenida General Osório de Paiva, Parangaba
", 60 ,3,1.0,2.0
R$ 1.609,,,"(N-900) Locação de excelentes apartamentos a partir de 35m² à 43m², localizado na Rua Barbara de Alencar, 1750, Aldeota, Fortaleza-CE, próximo ao FIEC; Os imóveis possuem: sala, c..."," Rua Bárbara de Alencar, Aldeota
", 45 ,2,1.0,1.0
R$ 2.300,R$ 300,R$ 94,"Este apartamento de dois quartos, localizado no 4º andar, oferece um ambiente confortável e conveniente para você desfrutar de todas as comodidades que a região tem a oferecer. Ao..."," Avenida dos Golfinhos, Porto das Dunas
", 73 ,2,1.0,2.0
R$ 2.500,R$ 300,R$ 850,"Fale com Vanessa Teixeira (85)9.9610.8601- informe o código AVPT63394 Excelente oportunidade de investir em um apartamento no Porto das Dunas, uma das regiões mais valorizadas do C..."," Avenida dos Oceanos, Porto das Dunas
", 46 ,2,1.0,1.0
R$ 2.250,R$ 650,R$ 1.900,"O apartamento no bairro Lagoa Seca possui 100 metros quadrados com 4 quartos sendo 3 suites e 4 banheiros Possui área de fitness, espaço gourmet, jardim, área de recreação infantil..."," Rua Irmã Florentina, Lagoa Seca
", 100 ,4,2.0,4.0
R$ 900,,,O apartamento está localizado no bairro Novo Horizonte possui 98 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros," Rua Tabelião José Figueiredo, Novo Horizonte
", 98 ,2,2.0,2.0
R$ 1.300,R$ 760,R$ 72,"*Condomínio Happy Living - Praia do Futuro* Av Dioguinho - 4200 Apto com aproximadamente 40m2 , semi nmobiliado. Sala, cozinha, 1 suíte com banheira, varanda! Condomínio com pisci..."," Praia do Futuro II, Fortaleza
", 60 ,2,1.0,2.0
R$ 2.205,R$ 737,R$ 150,"Apartamento com 3 quartos sendo 1 suíte + banheiro social + banheiro de serviços, Sala de Jantar, Sala de Estar, Cozinha, Área de Serviço e varanda com vista para o Parque do Cocó...."," Avenida das Adenanteras, Cidade 2000
", 73 ,3,2.0,3.0
R$ 3.000,R$ 1.150,R$ 177,"O apartamento está localizado no bairro Meireles com 158 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui salão para festas e eventos, parquinho com diferentes br..."," Rua José Vilar, Meireles
", 158 ,3,3.0,4.0
R$ 900,,R$ 77,"APARTAMENTO NO MEIRELES COM 1 QUARTO. Venha morar no Meireles em lugar a poucos minutos do supermercado Frangolandia, farmácias, padarias, escolas, restaurantes, lotérica e outros..."," Meireles, Fortaleza
", 36 ,1,,1.0
R$ 755,R$ 130,,"APARTAMENTO NO BAIRRO VILLA MANOEL SÁTIRO EM BREVE PISCINA , DECK E CHURRASQUEIRA ENTRE EM CONTATO PELO WHATSAPP TIM ( PAULO ) 03 QUARTOS (01 SUÍTE); SALA DE ESTAR E JANTAR; ÁRE..."," Rua Ilha Bela, Manuel Sátiro
", 65 ,3,1.0,2.0
R$ 1.309,R$ 360,,"Lindo apartamento localizado na R. Agapito dos Santos 309, bairro: Centro, disponível para locação. 9 9721=1385 whats Claudio Aguiar creci 9301 O apartamento possui 3 quartos, se..."," Rua Agapito dos Santos, Centro
", 72 ,3,1.0,2.0
R$ 2.500,R$ 803,,"Ótima oportunidade para você que está buscando morar a poucos passos da praia. Apartamento em excelente estado de conservação a poucos passos da Av. Beira Mar, um dos principais ca..."," Mucuripe, Fortaleza
", 77 ,2,1.0,3.0
R$ 450 /dia,,,Para orçamentos entrar em contato por WhatsApp (85) 99985.6282 SÓ LOCAMOS PARA NO MÍNIMO 3 NOITES * Valor que utilizamos no site é o da Tarifa Básica e é válida apenas em BAIXA...," Rua Silva Jatahy, Meireles
", 85 ,3,2.0,3.0
R$ 1.500,R$ 355,R$ 98,"""Uma localização privilegiada, juntamente com segurança e bastante conforto"", assim definimos o lugar ideal para viver com sua família uma vida tranquila e cheia de momentos inesqu..."," Rua Afrânio Peixoto, Parangaba
", 61 ,2,1.0,2.0
R$ 4.200,R$ 900,,"O apartamento no bairro Joaquim Távora tem 119 metros quadrados com 3 quartos sendo 2 suites e 4 banheiros Possui área de fitness, espaço gourmet, área verde de jardim, área de rec..."," Rua João Brígido, Joaquim Tavora
", 119 ,3,2.0,4.0
R$ 1.100,O apartamento no bairro Mondubim tem 60 metros quadrados com 3 quartos sendo 2 suites e 1 banheiroFica em um  fechado.,,O apartamento no bairro Mondubim tem 60 metros quadrados com 3 quartos sendo 2 suites e 1 banheiroFica em um condomínio fechado.," Rua 2, Mondubim
", 60 ,3,2.0,1.0
R$ 900,,,"CODIGO 0341-01 O apartamento está localizado no bairro Grilo com 65 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet, jardim, salão para festas e e..."," Rua Joaquim Bento Cavalcante, Grilo
", 65 ,3,1.0,2.0
R$ 1.400 /semana,,,O apartamento no bairro Cidade Universitária com 72 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro," Rua Francisco Benedito de Oliveira, Cidade Universitária
", 72 ,3,1.0,1.0
R$ 3.300,R$ 740,R$ 134,"Apartamento para Aluguel, 74m² por R$ 3.300/Mês. Praia de Iracema - Fortaleza/CE Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a SILVEIRA CORR..."," Rua Dragão do Mar, Praia de Iracema
", 74 ,2,2.0,2.0
R$ 1.000,R$ 110,,"ÁREA DE SERVIÇO, 1 VAGAS,BANHEIRO SOCIAL,COZINHA,LAVANDERIA, 2 QTOS,SALA, 1 SUÍTES,CORREDOR, CONDOMÍNIO 110R$"," Rua Suíça, Maraponga
", 55 ,1,1.0,2.0
R$ 2.250,R$ 415,R$ 80,"BROOKLIN CENTRAL PARK – Situado no Papicu - Apt com 55,20m², sala de estar e jantar com varanda, 02 Quartos, sendo 1 Suíte, WC Social, cozinha americana, área de serviço, armários..."," Rua José Rangel, Papicu
", 55 ,2,1.0,2.0
R$ 2.300,R$ 230,,Excelente Apartamento em Pedras com: 2 Quartos (Sendo uma suíte com armários) Sala de Estar Sala de Jantar Cozinha Americana (Com armários) Área de Serviço Varanda Condomínio com:...," Rua Francisco Paixão, Pedras
", 58 ,2,1.0,2.0
R$ 450,,R$ 205,"Apartamento de 1 quarto na Av. Prefeito Evandro Ayres, próximo ao supermercado Rabelo e da Av. Presidente Costa e Silva."," Avenida Prefeito Evandro Ayres de Moura, Mondubim
", 39 ,1,,1.0
R$ 1.500,,,"Casa duplex para locação com móveis projetados e cortina nos quartos. Localizados a 10min da CE010, 15min da Av. Washington Soares. Próximo a padaria, academia, supermercado, esc..."," Rua Nikola Tesla, Encantada
", 47 ,2,,2.0
R$ 580,,,"Amplo apartamento para locação no bairro Lagoa Redonda, próximo a supermercados, posto de saúde e escolas. São 70m² com ampla sala, 1 suíte, varanda, 1 banheiro social, cozinha e..."," Rua Nelson Coelho, Lagoa Redonda
", 70 ,1,,2.0
R$ 890,R$ 300,,"Apartamento 43,83m² - 2 Suítes - 2 Vagas Condomínio Vilage Leonardo da Vinci - 2 Suítes sendo 1 suíte reversível; - Cozinha - WC Reversível; - 1 Vaga; - Sala; - Vara..."," Rua 08H, Prefeito José Walter
", 43 ,2,2.0,2.0
R$ 1.100,R$ 250,,"Localizado a 4 quadras da Av. Bezerra de Menezes, próximo academia Megabody, Praça João Pontes, Sociedade de Assistência aos Cegos, Igreja Santa Teresinha, Emílio Ribas, com fácil..."," Rua Leiria de Andrade, Monte Castelo
", 55 ,2,1.0,1.0
R$ 2.400,R$ 801,R$ 85,"O apartamento está localizado no bairro Aldeota com 70 metros quadrados com 2 quartos sendo 1 suite e 3 banheiros Possui parquinho infantil, espaço para festas. Vai lhe possibilita..."," Rua Carlos Vasconcelos, Aldeota
", 70 ,2,2.0,3.0
R$ 1.800,,,"Oportunidade !!Apartamentos Mobiliados no Eusébio, com 2 quartos, (sendo 1 suíte reversível com ar condicionado), sala de estar, sala de jantar , cozinha, área de serviço, 1 vaga d..."," Rua Tamatanduba, Coacu
", 50 ,2,1.0,1.0
R$ 2.500,R$ 1.150,R$ 176,"O apartamento no bairro Aldeota com 150 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui salão de festas, área verde de jardim, parquinho com diferentes brinquedo..."," Rua Visconde de Mauá, Aldeota
", 150 ,3,2.0,4.0
R$ 2.000,R$ 586,,"Ed. Hamilton Nogueira localizado na rua Ana Bilhar entre Av. Desembargador Moreira e rua Barbosa de Freitas à 200m da Av. Abolição próximo a supermercados, farmácias, hospitais e m..."," Avenida Desembargador Moreira, Meireles
", 60 ,2,2.0,2.0
R$ 2.209,R$ 353,,"(N-701) Excelente apartamento no Condomínio Parque dos Ipês, localizado na Rua Coronel Luiz de Souza, 72, Presidente Kennedy, próximo ao supermercado Guará; O imóvel possui 02 qua..."," Rua Coronel Luiz David de Souza, Presidente Kennedy
", 65 ,2,1.0,2.0
R$ 1.100,R$ 282,R$ 1,"Pensando na sua comodidade a 7Cantos apresenta o Condomínio Conquista Vida Nova. O apartamento possui 45m², distribuídos em 2 quartos, 1 banheiro, cozinha, área de serviço e 1 vag..."," Rua Valéria, Barroso
", 45 ,2,1.0,1.0
R$ 850,R$ 400,,"Apartamento no Bairro de Fátima, em excelente localização! * Sala em L; * 02 quartos (sendo um, suíte); * WC Social; * Cozinha e Área de serviço; * DCE; 01 vaga de garagem; Loca..."," Fátima, Fortaleza
", 86 ,2,1.0,2.0
R$ 1.700,R$ 500,,"Sala em L, 01 quarto, 02 suites, cozinha integrada à área de serviço, dependência, 01 vaga de garagem."," Rua Waldery Uchôa, Benfica
", 100 ,3,1.0,5.0
R$ 1.200,R$ 210,,"Casas Duplex em condomínio fechado, em um complexo de condomínios no Siqueira Uma vida tranquila e feliz, do jeito que você e sua família merecem. A comodidade de ter tudo próximo..."," Rua Mario Montenegro, Siqueira
", 63 ,2,2.0,1.0
R$ 2.750,R$ 848,R$ 165,"O apartamento está localizado no bairro Meireles possui 65 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área de fitness, salão de festas, playground, balcão ex..."," Rua Osvaldo Cruz, Meireles
", 65 ,2,1.0,2.0
R$ 2.000,R$ 545,R$ 75,"address Rua Pereira de Miranda, Papicu
"," Rua Pereira de Miranda, Papicu
", 56 ,2,1.0,2.0
R$ 1.900,R$ 422,,"1 QUARTO(S),SALA, 1 SUÍTES, 2 VAGAS,VARANDA,ACADEMIA,ÁREA DE SERVIÇO,BANHEIRO SOCIAL, CONDOMÍNIO 380R$,COZINHA,LAVANDERIA,PISCINA,PLAYGROUND, 1 QTOS"," Rua 5, Cidade dos Funcionários
", 75 ,2,2.0,2.0
R$ 1.005,R$ 200,,PARA MAIORES INFORMAÇÕES FALE NO WHATSAPP Tim WhatsApp ÁREA CONSTRUÍDA 65 m2 03 QUARTOS ( SENDO 1º SUÍTE ) SALA DE ESTAR E JANTAR COZINHA AMERICANA COM LAVANDERIA PORTÃO AUTOMÁTI...," Avenida Bibio Frota, Parangaba
", 65 ,3,1.0,2.0
R$ 850,R$ 509,,"Apartamento com 2 quartos, wc social, dependência completa de empregada, varanda, 1 vaga, área privativa 74m². Localizado na Rua Bento Albuquerque, próximo a escolas, supermercados..."," Rua Bento Albuquerque, Cocó
", 70 ,2,1.0,2.0
R$ 1.300,R$ 188,R$ 78,"Apartamento térreo no Cond. Paque da Vinci em Messejana com quintal privativo, possui 72m², 02 quartos, 01 banheiro, cozinha e sala. Possui 01 vaga. Condomínio possui piscina, pla..."," Rua A, Messejana
", 72 ,2,1.0,1.0
R$ 3.000,R$ 1.000,R$ 100,"Apartamento Decorado na Beira mar, Com 02 quartos amplos e espaçosos, -"," Avenida Beira Mar, Mucuripe
", 65 ,2,,2.0
R$ 1.400,R$ 389,,"Ed. Carlos Pinheiro! Não perca a oportunidade de morar, neste lindo apartamento com sala, 3 quartos, sendo 1 suíte, wc social, cozinha, área de serviço, mobiliado, área privativa 7..."," Rua Barão de Canindé, Itaoca
", 71 ,3,1.0,2.0
R$ 180 /dia,R$ 1,R$ 1,"NÃO ALUGAMOS MENSAL - MINIMO 3 DIÁRIAS *Valores sujeitos a alteração sem aviso prévio, sazonalidade e quantidade de pessoas* Para verificar valores e disponibilidade dos nossos ap..."," Avenida Dioguinho, Praia do Futuro II
", 65 ,2,2.0,2.0
R$ 850,,,"Excelente apartamento para 1ª locação na Pajuçara, próximo ao Atacadão, Assaí Atacadista e a outras opções de comércio e serviço, a poucos minutos da Rotatória da Ceasa. O imóvel p..."," Pajuçara, Maracanaú
", 48 ,2,,1.0
R$ 1.700,R$ 320,R$ 96,"Uma localização privilegiada, juntamente com segurança e bastante conforto"", assim definimos o lugar ideal para viver com sua família uma vida tranquila e cheia de momentos inesque..."," Rua Afrânio Peixoto, Parangaba
", 62 ,3,2.0,2.0
R$ 1.600,R$ 400,R$ 76,"Apartamento para Aluguel, 65m² por R$ 1.600/Mês. Cambeba - Fortaleza/CE Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a Marcelo Veras! Basta..."," Avenida Ministro José Américo, Cambeba
", 65 ,3,1.0,3.0
R$ 2.600,R$ 363,R$ 945,"Apartamento 1ª Locação em excelente localização, vizinho ao shopping Rio mar Kennedy, Assaí atacadista e poucos metros do parque Raquel de Queiroz, medindo 73,01m², bem distribuido..."," Rua Coronel Luiz David de Souza, Presidente Kennedy
", 72 ,3,2.0,2.0
R$ 1.100,R$ 230,,"Praticidade na sua rotina, apartamento compacto, para 1ª locação situado na Av. Juscelino Kubitschek, próximo a UPA 24h do José Walter e ao Hospital Sarah Kubitschek. Imóvel com 48..."," Passaré, Fortaleza
", 48 ,2,1.0,1.0
R$ 950,R$ 203,,"O apartamento está localizado no bairro Coaçu tem 40 metros quadrados com 2 quartos e 1 banheiro, 1 andar, 1 lance de escada somente, área verde de jardim, parquinho infantil, espa..."," Alameda Verde, Coacu
", 40 ,2,1.0,1.0
